Book Title 📚,Book Rank 🏆,Book Link 🔗,Author Name 👤,Author Link 🔗,Author Birthdate 🎂
"
The Hunger Games (The Hunger Games, #1)
",1,https://www.goodreads.com//book/show/2767052-the-hunger-games,Suzanne Collins,https://www.goodreads.com/author/show/153394.Suzanne_Collins,"August 11, 1962"
"
Harry Potter and the Order of the Phoenix (Harry Potter, #5)
",2,https://www.goodreads.com//book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix,J.K. Rowling,https://www.goodreads.com/author/show/1077326.J_K_Rowling,"July 31, 1965"
"
Pride and Prejudice
",3,https://www.goodreads.com//book/show/1885.Pride_and_Prejudice,Jane Austen,https://www.goodreads.com/author/show/1265.Jane_Austen,"December 16, 1775"
"
To Kill a Mockingbird
",4,https://www.goodreads.com//book/show/2657.To_Kill_a_Mockingbird,Harper Lee,https://www.goodreads.com/author/show/1825.Harper_Lee,"April 28, 1926"
"
The Book Thief
",5,https://www.goodreads.com//book/show/19063.The_Book_Thief,Markus Zusak,https://www.goodreads.com/author/show/11466.Markus_Zusak,"June 23, 1975"
"
Twilight (The Twilight Saga, #1)
",6,https://www.goodreads.com//book/show/41865.Twilight,Stephenie Meyer,https://www.goodreads.com/author/show/941441.Stephenie_Meyer,"December 24, 1973"
"
Animal Farm
",7,https://www.goodreads.com//book/show/170448.Animal_Farm,George Orwell,https://www.goodreads.com/author/show/3706.George_Orwell,"June 25, 1903"
"
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings
",8,https://www.goodreads.com//book/show/30.J_R_R_Tolkien_4_Book_Boxed_Set,J.R.R. Tolkien,https://www.goodreads.com/author/show/656983.J_R_R_Tolkien,"January 03, 1892"
"
The Chronicles of Narnia (The Chronicles of Narnia, #1-7)
",9,https://www.goodreads.com//book/show/11127.The_Chronicles_of_Narnia,C.S. Lewis,https://www.goodreads.com/author/show/1069006.C_S_Lewis,Birthdate not found
"
The Fault in Our Stars
",10,https://www.goodreads.com//book/show/11870085-the-fault-in-our-stars,John Green,https://www.goodreads.com/author/show/1406384.John_Green,Birthdate not found
"
The Picture of Dorian Gray
",11,https://www.goodreads.com//book/show/5297.The_Picture_of_Dorian_Gray,Oscar Wilde,https://www.goodreads.com/author/show/3565.Oscar_Wilde,"October 16, 1854"
"
Gone with the Wind
",12,https://www.goodreads.com//book/show/18405.Gone_with_the_Wind,Margaret Mitchell,https://www.goodreads.com/author/show/11081.Margaret_Mitchell,"November 08, 1900"
"
The Giving Tree
",13,https://www.goodreads.com//book/show/370493.The_Giving_Tree,Shel Silverstein,https://www.goodreads.com/author/show/435477.Shel_Silverstein,"September 25, 1930"
"
Wuthering Heights
",14,https://www.goodreads.com//book/show/6185.Wuthering_Heights,Emily Brontë,https://www.goodreads.com/author/show/4191.Emily_Bront_,"July 30, 1818"
"
The Perks of Being a Wallflower
",15,https://www.goodreads.com//book/show/22628.The_Perks_of_Being_a_Wallflower,Stephen Chbosky,https://www.goodreads.com/author/show/12898.Stephen_Chbosky,"January 25, 1970"
"
Jane Eyre
",16,https://www.goodreads.com//book/show/10210.Jane_Eyre,Charlotte Brontë,https://www.goodreads.com/author/show/1036615.Charlotte_Bront_,"April 21, 1816"
"
The Da Vinci Code (Robert Langdon, #2)
",17,https://www.goodreads.com//book/show/968.The_Da_Vinci_Code,Dan Brown,https://www.goodreads.com/author/show/630.Dan_Brown,Birthdate not found
"
The Great Gatsby
",18,https://www.goodreads.com//book/show/4671.The_Great_Gatsby,F. Scott Fitzgerald,https://www.goodreads.com/author/show/3190.F_Scott_Fitzgerald,"September 24, 1896"
"
The Little Prince
",19,https://www.goodreads.com//book/show/157993.The_Little_Prince,Antoine de Saint-Exupéry,https://www.goodreads.com/author/show/1020792.Antoine_de_Saint_Exup_ry,"June 29, 1900"
"
The Lightning Thief (Percy Jackson and the Olympians, #1)
",20,https://www.goodreads.com//book/show/28187.The_Lightning_Thief,Rick Riordan,https://www.goodreads.com/author/show/15872.Rick_Riordan,Birthdate not found
"
Alice's Adventures in Wonderland / Through the Looking-Glass
",21,https://www.goodreads.com//book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass,Lewis Carroll,https://www.goodreads.com/author/show/8164.Lewis_Carroll,"January 27, 1832"
"
Memoirs of a Geisha
",22,https://www.goodreads.com//book/show/929.Memoirs_of_a_Geisha,Arthur Golden,https://www.goodreads.com/author/show/614.Arthur_Golden,"December 06, 1956"
"
Divergent (Divergent, #1)
",23,https://www.goodreads.com//book/show/13335037-divergent,Veronica Roth,https://www.goodreads.com/author/show/4039811.Veronica_Roth,Birthdate not found
"
Crime and Punishment
",24,https://www.goodreads.com//book/show/7144.Crime_and_Punishment,Fyodor Dostoevsky,https://www.goodreads.com/author/show/3137322.Fyodor_Dostoevsky,"November 11, 1821"
"
Les Misérables
",25,https://www.goodreads.com//book/show/24280.Les_Mis_rables,Victor Hugo,https://www.goodreads.com/author/show/13661.Victor_Hugo,"February 26, 1802"
"
Lord of the Flies
",26,https://www.goodreads.com//book/show/7624.Lord_of_the_Flies,William Golding,https://www.goodreads.com/author/show/306.William_Golding,"September 19, 1911"
"
Romeo and Juliet
",27,https://www.goodreads.com//book/show/18135.Romeo_and_Juliet,William Shakespeare,https://www.goodreads.com/author/show/947.William_Shakespeare,Birthdate not found
"
Anne of Green Gables (Anne of Green Gables, #1)
",28,https://www.goodreads.com//book/show/8127.Anne_of_Green_Gables,L.M. Montgomery,https://www.goodreads.com/author/show/5350.L_M_Montgomery,"November 30, 1874"
"
City of Bones (The Mortal Instruments, #1)
",29,https://www.goodreads.com//book/show/256683.City_of_Bones,Cassandra Clare,https://www.goodreads.com/author/show/150038.Cassandra_Clare,Birthdate not found
"
The Help
",30,https://www.goodreads.com//book/show/4667024-the-help,Kathryn Stockett,https://www.goodreads.com/author/show/1943477.Kathryn_Stockett,Birthdate not found
"
Ender’s Game (Ender's Saga, #1)
",31,https://www.goodreads.com//book/show/375802.Ender_s_Game,Orson Scott Card,https://www.goodreads.com/author/show/589.Orson_Scott_Card,"August 24, 1951"
"
Dracula
",32,https://www.goodreads.com//book/show/17245.Dracula,Bram Stoker,https://www.goodreads.com/author/show/6988.Bram_Stoker,"November 08, 1847"
"
Charlotte's Web
",33,https://www.goodreads.com//book/show/24178.Charlotte_s_Web,E.B. White,https://www.goodreads.com/author/show/988142.E_B_White,"July 11, 1899"
"
Of Mice and Men
",34,https://www.goodreads.com//book/show/890.Of_Mice_and_Men,John Steinbeck,https://www.goodreads.com/author/show/585.John_Steinbeck,"February 27, 1902"
"
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)
",35,https://www.goodreads.com//book/show/11.The_Hitchhiker_s_Guide_to_the_Galaxy,Douglas Adams,https://www.goodreads.com/author/show/4.Douglas_Adams,"March 11, 1952"
"
The Alchemist
",36,https://www.goodreads.com//book/show/18144590-the-alchemist,Paulo Coelho,https://www.goodreads.com/author/show/566.Paulo_Coelho,Birthdate not found
"
The Catcher in the Rye
",37,https://www.goodreads.com//book/show/5107.The_Catcher_in_the_Rye,J.D. Salinger,https://www.goodreads.com/author/show/819789.J_D_Salinger,"January 01, 1919"
"
Fahrenheit 451
",38,https://www.goodreads.com//book/show/13079982-fahrenheit-451,Ray Bradbury,https://www.goodreads.com/author/show/1630.Ray_Bradbury,"August 22, 1920"
"
Brave New World
",39,https://www.goodreads.com//book/show/5129.Brave_New_World,Aldous Huxley,https://www.goodreads.com/author/show/3487.Aldous_Huxley,"July 26, 1894"
"
One Hundred Years of Solitude
",40,https://www.goodreads.com//book/show/320.One_Hundred_Years_of_Solitude,Gabriel García Márquez,https://www.goodreads.com/author/show/13450.Gabriel_Garc_a_M_rquez,"March 06, 1927"
"
The Time Traveler's Wife
",41,https://www.goodreads.com//book/show/18619684-the-time-traveler-s-wife,Audrey Niffenegger,https://www.goodreads.com/author/show/498072.Audrey_Niffenegger,Birthdate not found
"
A Thousand Splendid Suns
",42,https://www.goodreads.com//book/show/128029.A_Thousand_Splendid_Suns,Khaled Hosseini,https://www.goodreads.com/author/show/569.Khaled_Hosseini,"March 04, 1965"
"
The Princess Bride
",43,https://www.goodreads.com//book/show/21787.The_Princess_Bride,William Goldman,https://www.goodreads.com/author/show/12521.William_Goldman,"August 12, 1931"
"
The Secret Garden
",44,https://www.goodreads.com//book/show/2998.The_Secret_Garden,Frances Hodgson Burnett,https://www.goodreads.com/author/show/2041.Frances_Hodgson_Burnett,"November 24, 1849"
"
Harry Potter and the Sorcerer's Stone (Harry Potter, #1)
",45,https://www.goodreads.com//book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone,J.K. Rowling,https://www.goodreads.com/author/show/1077326.J_K_Rowling,"July 31, 1965"
"
A Game of Thrones
",46,https://www.goodreads.com//book/show/13496.A_Game_of_Thrones,George R.R. Martin,https://www.goodreads.com/author/show/346732.George_R_R_Martin,"September 20, 1948"
"
The Outsiders
",47,https://www.goodreads.com//book/show/231804.The_Outsiders,S.E. Hinton,https://www.goodreads.com/author/show/762707.S_E_Hinton,Birthdate not found
"
A Wrinkle in Time (Time Quintet, #1)
",48,https://www.goodreads.com//book/show/33574273-a-wrinkle-in-time,Madeleine L'Engle,https://www.goodreads.com/author/show/106.Madeleine_L_Engle,"November 29, 1918"
"
Little Women
",49,https://www.goodreads.com//book/show/1934.Little_Women,Louisa May Alcott,https://www.goodreads.com/author/show/1315.Louisa_May_Alcott,"November 29, 1832"
"
1984
",50,https://www.goodreads.com//book/show/40961427-1984,George Orwell,https://www.goodreads.com/author/show/3706.George_Orwell,"June 25, 1903"
"
The Odyssey
",51,https://www.goodreads.com//book/show/1381.The_Odyssey,Homer,https://www.goodreads.com/author/show/903.Homer,Birthdate not found
"
The Kite Runner
",52,https://www.goodreads.com//book/show/77203.The_Kite_Runner,Khaled Hosseini,https://www.goodreads.com/author/show/569.Khaled_Hosseini,"March 04, 1965"
"
Frankenstein: The 1818 Text
",53,https://www.goodreads.com//book/show/35031085-frankenstein,Mary Wollstonecraft Shelley,https://www.goodreads.com/author/show/11139.Mary_Wollstonecraft_Shelley,"August 30, 1797"
"
The Lovely Bones
",54,https://www.goodreads.com//book/show/12232938-the-lovely-bones,Alice Sebold,https://www.goodreads.com/author/show/316.Alice_Sebold,"September 06, 1963"
